Uninstalled 1 package in 0.50ms
Installed 1 package in 1ms
/home/jk/jupyterlab/autoresearch-dgx/.venv/lib/python3.10/site-packages/torch/cuda/__init__.py:283: UserWarning: 
    Found GPU0 NVIDIA GB10 which is of cuda capability 12.1.
    Minimum and Maximum cuda capability supported by this version of PyTorch is
    (8.0) - (12.0)
    
  warnings.warn(
W0526 02:23:46.702000 1984956 .venv/lib/python3.10/site-packages/torch/_inductor/utils.py:1613] [0/0] Not enough SMs to use max_autotune_gemm mode
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 4, 'n_head': 3, 'n_kv_head': 3, 'n_embd': 384, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 3,145,728
  value_embeds            : 6,291,456
  lm_head                 : 3,145,728
  transformer_matrices    : 7,078,080
  scalars                 : 8
  total                   : 19,661,000
Estimated FLOPs per token: 8.493581e+07
Scaling AdamW LRs by 1/sqrt(384/768) = 1.414214
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011383 | lrm: 1.00 | dt: 4845ms | tok/sec: 6,762 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.267004 | lrm: 1.00 | dt: 278ms | tok/sec: 117,768 | mfu: 4.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.973154 | lrm: 1.00 | dt: 273ms | tok/sec: 120,150 | mfu: 4.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.726529 | lrm: 1.00 | dt: 274ms | tok/sec: 119,543 | mfu: 4.9% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.455697 | lrm: 1.00 | dt: 273ms | tok/sec: 120,168 | mfu: 4.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.194381 | lrm: 1.00 | dt: 275ms | tok/sec: 119,339 | mfu: 4.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.962097 | lrm: 1.00 | dt: 275ms | tok/sec: 119,353 | mfu: 4.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.739981 | lrm: 1.00 | dt: 272ms | tok/sec: 120,570 | mfu: 4.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.542651 | lrm: 1.00 | dt: 279ms | tok/sec: 117,366 | mfu: 4.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.376108 | lrm: 1.00 | dt: 271ms | tok/sec: 120,750 | mfu: 4.9% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.233180 | lrm: 1.00 | dt: 273ms | tok/sec: 120,052 | mfu: 4.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.107385 | lrm: 1.00 | dt: 272ms | tok/sec: 120,558 | mfu: 4.9% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 7.001310 | lrm: 1.00 | dt: 276ms | tok/sec: 118,606 | mfu: 4.8% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.895197 | lrm: 1.00 | dt: 275ms | tok/sec: 118,984 | mfu: 4.8% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 6.804062 | lrm: 1.00 | dt: 273ms | tok/sec: 120,037 | mfu: 4.9% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 6.730249 | lrm: 1.00 | dt: 273ms | tok/sec: 120,236 | mfu: 4.9% | epoch: 1 | remaining: 299s    
step 00016 (0.5%) | loss: 6.652686 | lrm: 1.00 | dt: 275ms | tok/sec: 119,225 | mfu: 4.8% | epoch: 1 | remaining: 298s    
step 00017 (0.5%) | loss: 6.586709 | lrm: 1.00 | dt: 271ms | tok/sec: 120,836 | mfu: 4.9% | epoch: 1 | remaining: 298s    
step 00018 (0.6%) | loss: 6.535142 | lrm: 1.00 | dt: 272ms | tok/sec: 120,362 | mfu: 4.9% | epoch: 1 | remaining: 298s    
step 00019 (0.7%) | loss: 6.472713 | lrm: 1.00 | dt: 277ms | tok/sec: 118,348 | mfu: 4.8% | epoch: 1 | remaining: 298s    
step 00020 (0.8%) | loss: 6.433504 | lrm: 1.00 | dt: 273ms | tok/sec: 119,918 | mfu: 4.9% | epoch: 1 | remaining: 297s    
step 00021 (0.9%) | loss: 6.372917 | lrm: 1.00 | dt: 275ms | tok/sec: 119,073 | mfu: 4.8% | epoch: 1 | remaining: 297s    
step 00022 (1.0%) | loss: 6.334632 | lrm: 1.00 | dt: 271ms | tok/sec: 121,122 | mfu: 4.9% | epoch: 1 | remaining: 297s    
step 00023 (1.1%) | loss: 6.291588 | lrm: 1.00 | dt: 279ms | tok/sec: 117,537 | mfu: 4.8% | epoch: 1 | remaining: 296s    
step 00024 (1.2%) | loss: 6.253721 | lrm: 1.00 | dt: 274ms | tok/sec: 119,459 | mfu: 4.9% | epoch: 1 | remaining: 296s    
step 00025 (1.3%) | loss: 6.215637 | lrm: 1.00 | dt: 272ms | tok/sec: 120,355 | mfu: 4.9% | epoch: 1 | remaining: 296s    
step 00026 (1.4%) | loss: 6.174339 | lrm: 1.00 | dt: 277ms | tok/sec: 118,165 | mfu: 4.8% | epoch: 1 | remaining: 296s    
step 00027 (1.5%) | loss: 6.148748 | lrm: 1.00 | dt: 272ms | tok/sec: 120,415 | mfu: 4.9% | epoch: 1 | remaining: 295s    
step 00028 (1.6%) | loss: 6.111075 | lrm: 1.00 | dt: 276ms | tok/sec: 118,740 | mfu: 4.8% | epoch: 1 | remaining: 295s    
step 00029 (1.6%) | loss: 6.081500 | lrm: 1.00 | dt: 273ms | tok/sec: 120,209 | mfu: 4.9% | epoch: 1 | remaining: 295s    
step 00030 (1.7%) | loss: 6.057279 | lrm: 1.00 | dt: 278ms | tok/sec: 118,057 | mfu: 4.8% | epoch: 1 | remaining: 295s    
step 00031 (1.8%) | loss: 6.027231 | lrm: 1.00 | dt: 273ms | tok/sec: 119,998 | mfu: 4.9% | epoch: 1 | remaining: 294s    
step 00032 (1.9%) | loss: 5.996944 | lrm: 1.00 | dt: 273ms | tok/sec: 119,917 | mfu: 4.9% | epoch: 1 | remaining: 294s    
step 00033 (2.0%) | loss: 5.970095 | lrm: 1.00 | dt: 274ms | tok/sec: 119,658 | mfu: 4.9% | epoch: 1 | remaining: 294s    
step 00034 (2.1%) | loss: 5.944822 | lrm: 1.00 | dt: 277ms | tok/sec: 118,420 | mfu: 4.8% | epoch: 1 | remaining: 293s    
step 00035 (2.2%) | loss: 5.919543 | lrm: 1.00 | dt: 274ms | tok/sec: 119,719 | mfu: 4.9% | epoch: 1 | remaining: 293s    
step 00036 (2.3%) | loss: 5.893053 | lrm: 1.00 | dt: 272ms | tok/sec: 120,322 | mfu: 4.9% | epoch: 1 | remaining: 293s    
step 00037 (2.4%) | loss: 5.879767 | lrm: 1.00 | dt: 277ms | tok/sec: 118,160 | mfu: 4.8% | epoch: 1 | remaining: 293s    
step 00038 (2.5%) | loss: 5.855884 | lrm: 1.00 | dt: 275ms | tok/sec: 119,001 | mfu: 4.8% | epoch: 1 | remaining: 292s    
step 00039 (2.6%) | loss: 5.829646 | lrm: 1.00 | dt: 274ms | tok/sec: 119,623 | mfu: 4.9% | epoch: 1 | remaining: 292s    
step 00040 (2.7%) | loss: 5.811391 | lrm: 1.00 | dt: 271ms | tok/sec: 120,888 | mfu: 4.9% | epoch: 1 | remaining: 292s    
step 00041 (2.7%) | loss: 5.788087 | lrm: 1.00 | dt: 280ms | tok/sec: 116,863 | mfu: 4.7% | epoch: 1 | remaining: 291s    
